feature,importance
return_1h,0.011595450993063527
return_3h,0.005862347196257708
volume_lag_6,0.003282148176905821
BBL,0.0032305911141702667
open,0.0027062998900498924
high,0.0025692589943132485
hour,0.0024584725965003957
return_6h,0.001952881947712409
vol_3h,0.0017191614167077253
volume_lag_24,0.001579078752157849
volume,0.0013057232568976609
close_lag_12,0.0013006513953322345
RSI_14,0.0012913059255468217
MACD_signal,0.0012728007935684112
low,0.0012147303123782294
vol_24h,0.0011279111348305023
OBV,0.0011277270971347872
day,0.0011100150761053818
vol_12h,0.001061351019677698
volume_lag_12,0.0010361447810869262
MACD,0.0010148921099813388
volume_lag_3,0.0008792539367774294
vol_6h,0.000823525496503028
volume_lag_1,0.0007774064305158866
BBU,0.0006685559548931046
close,0.0003133113758214494
close_lag_24,0.0003061012911728402
close_lag_3,0.00029853457054434185
dayofweek,0.00022443083483699285
close_lag_6,0.00019253138038502018
close_lag_1,0.0001793827653214652
EMA_20,0.00011853488705579248
BBM,6.651412067892509e-05
SMA_20,5.042898865301678e-05
